,,,,,,,,,,,
,"FICHE REPAS NURSING MIDI",,,,,,,,,,
"Ch 117  Dethine Jeannine                                       Allée des Nénuphars",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,"TYPE BOISSON",,,,,,,
,,,,,,,,,,,
,,,,"▪ EAU PLATE",,,,,,,
,,,,,,,,,,,
,,,,"▪ EAU PETILLANTE",,,,,,,
,,,,,,,,,,,
,,,,"▪ BIERE BRUNE",,,,,,,
,,,,,,,,,,,
,,,,"▪ BIERE BLONDE",,,,,,,
,,,,,,,,,,,
,,,,"▪EAU AROMATISEE",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"FICHE REPAS CUISINE MIDI",,,,,,,,,,,
"Ch 117  Dethine Jeannine                                       Allée des Nénuphars",,,,,,,,,,,
,,,,,"Aversions : ",,,,,,"TEXTURE"
,,,,,,,,,,,
,"Potage normal",,,,,,,,,,"ENTIER"
,,,,,,,,,,,
,"Potage enrichi",,,,,,,,,,"COUPE"
,,,,,,,,,,,
,"Potage s/sel",,,,,,,,,,"MOULU"
,,,,,,,,,,,
,"Quantité",,,,,,,,,,"MIXE"
,,,,,,,,,,,
,"Petite",,,,,,,,,,"FINGER FOOD"
,,,,,,,,,,,
,"Moyenne",,,,,,,,,,"PANADE SUCREE"
,,,,,,,,,,,
,"Grande",,,"TARTINE EN + : ………..",,,,,,,
,,,,,,,,,,,
"Remarques :",,,,,,,,,,,
